### DATA:
#
# 2271
#      Q             I(Q)           Error     
1.11602592E-01  -1.45845115E-05  3.18660959E-04
1.11822499E-01  9.47376713E-04  3.18191928E-04
1.12042405E-01  3.84692103E-04  3.18280554E-04
1.12262312E-01  3.51235271E-04  3.17464866E-04
1.12482219E-01  3.85893509E-04  3.14780561E-04
1.12702125E-01  3.79215926E-04  3.18001177E-04
1.12922032E-01  9.27124172E-04  3.18346542E-04
1.13141938E-01  2.95134261E-04  3.19787453E-04
1.13361845E-01  -2.19006091E-04  3.11237263E-04
1.13581751E-01  1.91884115E-04  3.16750193E-04
1.13801658E-01  7.21741468E-04  3.17281372E-04
1.14021565E-01  1.66703016E-04  3.14958271E-04
1.14241471E-01  7.21517950E-04  3.15462326E-04
1.14461378E-01  7.60126859E-05  3.13285317E-04
1.14681284E-01  7.70352781E-04  3.15137520E-04
1.14901191E-01  3.21265310E-04  3.11863813E-04
1.15121098E-01  4.30902466E-04  3.15336715E-04
1.15341004E-01  8.65178183E-04  3.13123436E-04
1.15560911E-01  5.69639727E-04  3.13235102E-04
1.15780817E-01  4.19374555E-04  3.12881860E-04
1.16000724E-01  2.87445262E-04  3.11492963E-04
1.16220631E-01  2.54247338E-04  3.13341371E-04
1.16440537E-01  1.97272748E-04  3.09362907E-04
1.16660444E-01  9.14983451E-04  3.12636165E-04
1.16880350E-01  3.19615006E-04  3.11037058E-04
1.17100257E-01  -3.22647393E-05  3.08167533E-04
1.17320163E-01  -4.21404839E-05  3.08593233E-04
1.17540070E-01  5.85064292E-04  3.08414384E-04
1.17759977E-01  8.80677253E-04  3.10971850E-04
1.17979883E-01  7.57372007E-04  3.11634309E-04
1.18199790E-01  3.84109095E-04  3.05834421E-04
1.18419696E-01  8.68506730E-04  3.10165775E-04
1.18639603E-01  1.02422945E-03  3.10629690E-04
1.18859510E-01  1.93715096E-07  3.07079668E-04
1.19079416E-01  5.41191548E-04  3.07444071E-04
1.19299323E-01  1.13170967E-03  3.08982624E-04
1.19519229E-01  1.05756521E-03  3.09953007E-04
1.19739136E-01  9.40686092E-04  3.08652978E-04
1.19959042E-01  -1.92346051E-04  3.04722222E-04
1.20178949E-01  4.05330211E-04  3.03778958E-04
1.20398856E-01  8.19619745E-04  3.07935629E-04
